,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty,¤ÀÃþ
402,0.2,0.014285714285714285,0.05714285714285714,0.0,0.07142857142857142,0.0,0.08571428571428572,0.08571428571428572,0.014285714285714285,0.0,0.02857142857142857,0.1,0.07142857142857142,0.02857142857142857,0.0,0.0,0.24285714285714285
403,0.058823529411764705,0.029411764705882353,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0,0.029411764705882353,0.0,0.35294117647058826,0.058823529411764705,0.0,0.0,0.0,0.17647058823529413
404,0.07142857142857142,0.07142857142857142,0.5,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
407,0.12727272727272726,0.0,0.0,0.01818181818181818,0.0,0.12727272727272726,0.01818181818181818,0.12727272727272726,0.0,0.0,0.0,0.14545454545454545,0.05454545454545454,0.03636363636363636,0.0,0.0,0.34545454545454546
408,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.16666666666666666,0.1,0.06666666666666667,0.06666666666666667,0.1,0.1,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.16666666666666666
409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
410,0.1,0.025,0.0,0.025,0.025,0.0,0.025,0.05,0.0,0.075,0.0,0.125,0.05,0.0,0.075,0.0,0.425
411,0.041666666666666664,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.25,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
415,0.0,0.0,0.025,0.0,0.0,0.0,0.175,0.0,0.0,0.075,0.0,0.15,0.05,0.05,0.025,0.0,0.45
416,0.10526315789473684,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576
417,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.0,0.0,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0,0.038461538461538464,0.0,0.19230769230769232
418,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.5
419,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3
420,0.05263157894736842,0.05263157894736842,0.07894736842105263,0.0,0.0,0.05263157894736842,0.0,0.07894736842105263,0.0,0.02631578947368421,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.5
421,0.07272727272727272,0.09090909090909091,0.01818181818181818,0.01818181818181818,0.0,0.01818181818181818,0.09090909090909091,0.12727272727272726,0.01818181818181818,0.05454545454545454,0.0,0.14545454545454545,0.0,0.01818181818181818,0.0,0.0,0.32727272727272727
422,0.09090909090909091,0.07954545454545454,0.1590909090909091,0.056818181818181816,0.0,0.0,0.23863636363636365,0.056818181818181816,0.0,0.011363636363636364,0.022727272727272728,0.14772727272727273,0.056818181818181816,0.03409090909090909,0.022727272727272728,0.0,0.022727272727272728
