,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
190,3,18,14,36,11,0,2,28,12,0,1,0,37,10,4,1,2
191,18,0,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0
192,12,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
193,6,0,0,4,0,0,0,1,3,0,0,0,1,0,1,0,0
194,17,4,2,0,0,0,1,2,5,0,1,0,4,3,1,0,0
195,10,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,3,1,0,3,1,1,0,1,2,0,1,0,1,0,0,0,1
198,5,2,4,1,9,1,0,3,4,0,6,0,15,0,0,0,0
199,5,1,1,0,1,1,0,0,2,0,0,0,3,1,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,11,0,0,1,2,1,0,3,1,1,0,0,1,0,0,1,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1,2,0,0,5,0,0,7,1,0,0,0,6,5,0,0,0
204,13,3,0,2,2,1,0,3,0,2,1,0,2,0,0,0,4
205,11,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,9,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0
208,7,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,1
209,1,6,1,0,0,0,0,2,4,0,0,0,1,0,0,0,0
210,11,0,1,1,1,0,1,2,1,0,0,1,1,0,0,0,0
211,4,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
212,1,2,2,0,1,1,0,2,2,0,0,0,1,0,0,0,0
213,15,8,7,6,5,6,0,5,7,0,2,1,12,5,0,1,0
214,8,1,0,1,3,5,0,4,4,0,0,0,4,1,0,1,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,12,2,0,8,0,0,1,3,0,0,0,0,0,2,0,0,0
217,7,1,0,0,1,0,0,4,2,0,0,0,0,0,1,0,0
218,7,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,9,4,0,0,1,6,0,3,2,0,2,0,2,1,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,5,13,12,1,1,0,3,9,12,2,3,2,36,3,0,3,0
223,5,4,1,0,2,0,21,3,16,0,2,0,13,6,1,1,0
224,8,13,2,8,3,0,7,26,7,2,2,1,29,5,5,0,1
225,1,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0
226,15,8,1,4,0,1,2,3,1,0,1,1,8,0,1,3,0
227,2,7,8,69,2,1,0,3,3,1,3,1,5,7,0,3,0
228,17,6,6,1,4,0,1,19,8,6,6,2,41,5,3,2,0
229,19,15,7,19,5,0,0,3,12,1,1,0,53,5,1,2,0
230,2,19,7,132,9,0,0,7,0,0,3,0,27,7,0,3,0
231,1,3,4,0,0,0,0,9,2,0,3,4,12,3,1,1,0
232,17,16,3,0,4,0,1,9,10,1,5,0,19,3,2,0,0
233,17,16,0,0,5,0,3,0,19,1,2,0,4,3,1,1,0
234,17,6,12,4,1,4,3,16,14,1,3,0,38,8,2,5,0
235,7,0,0,0,5,0,0,10,2,0,1,0,2,3,0,0,0
236,1,5,0,0,5,1,1,8,7,1,0,0,7,1,3,0,0
237,9,1,2,0,1,0,1,1,2,0,0,2,1,1,1,0,1
238,4,1,1,0,0,0,0,3,0,0,0,1,2,0,1,0,0
239,5,17,1,3,0,0,76,8,40,0,8,0,37,17,0,0,0
240,1,8,5,2,3,3,4,54,14,18,8,0,46,6,1,1,0
241,17,22,1,3,6,13,2,11,24,0,4,0,29,4,1,2,0
242,17,65,31,8,11,0,6,38,53,1,12,2,85,23,6,4,0
243,4,12,1,1,3,1,8,34,2,0,4,0,16,6,4,1,0
244,17,4,2,0,1,0,5,7,8,0,3,0,13,3,0,0,0
245,3,10,0,14,0,0,0,20,6,0,0,0,22,1,2,0,0
246,17,14,13,0,11,2,1,17,13,12,5,0,42,5,0,0,0
247,15,11,6,7,0,0,20,2,8,0,4,1,18,8,1,2,0
248,5,12,6,0,1,0,7,6,9,0,1,1,33,6,4,2,0
249,9,0,0,0,0,1,1,1,3,0,1,0,1,1,0,1,0
250,9,8,2,1,8,0,15,6,33,3,2,0,11,2,0,0,0
251,17,51,6,11,8,0,5,66,34,3,0,12,128,11,8,4,2
252,4,1,2,0,1,0,0,3,1,0,0,0,1,0,0,0,0
253,1,2,3,1,3,0,1,7,2,0,0,3,5,0,1,1,0
254,17,3,5,1,1,0,1,4,1,0,3,0,8,1,1,0,0
255,17,61,40,7,26,0,16,33,35,0,6,2,80,16,4,5,1
256,17,12,13,3,16,0,4,19,17,0,1,1,31,3,3,8,0
257,5,50,8,23,9,0,38,14,78,1,8,0,96,41,16,4,2
258,18,1,1,0,2,0,1,4,0,0,0,0,0,1,0,0,0
259,9,16,4,0,1,0,2,11,19,1,12,0,13,15,0,4,0
260,9,10,7,1,3,1,1,0,22,0,2,0,4,3,0,2,0
261,5,12,19,4,0,0,0,10,24,0,1,0,44,6,0,1,0
262,5,8,2,5,23,0,2,13,7,0,3,1,66,10,2,2,0
263,4,29,1,10,5,0,0,59,28,2,3,1,31,3,0,1,0
264,13,4,5,7,8,0,0,9,2,1,1,0,9,3,0,1,0
265,8,24,4,5,3,0,3,11,12,0,1,0,7,2,4,2,0
266,4,3,1,2,2,0,0,30,20,0,0,7,11,1,1,2,0
267,1,6,6,2,0,0,0,12,7,0,2,2,9,3,0,3,2
268,5,56,13,13,17,1,20,39,19,1,16,1,129,29,10,2,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,9,8,0,0,2,0,4,3,11,3,1,4,4,5,0,0,0
272,9,4,0,0,0,0,11,2,11,0,1,1,4,3,0,0,0
273,12,5,0,30,3,0,1,2,11,0,1,0,3,9,0,1,1
274,4,3,0,0,4,0,0,7,4,2,1,0,2,3,0,0,0
275,13,12,4,13,1,2,0,7,11,3,6,2,7,6,0,0,0
276,12,3,1,29,2,0,0,4,4,1,0,0,4,1,0,3,1
277,6,1,1,16,0,0,2,2,6,0,0,1,6,1,2,1,0
278,17,3,1,0,0,0,2,2,3,0,0,0,4,0,0,0,0
279,4,6,5,0,2,0,1,14,13,0,2,1,3,2,0,0,0
280,6,5,2,18,0,0,1,8,10,1,0,0,3,0,3,1,0
281,1,1,1,0,1,0,2,2,2,0,0,0,2,0,0,0,0
282,15,19,10,10,0,0,4,7,17,0,10,1,14,7,1,3,0
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,14,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
285,5,2,1,0,2,0,17,1,4,1,5,0,11,4,0,0,0
286,16,23,6,1,4,0,1,20,20,0,7,0,80,12,6,3,0
287,19,1,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0
288,5,2,0,0,0,0,3,0,4,0,2,0,5,3,0,0,0
289,1,6,2,1,4,0,0,6,4,0,4,0,7,0,1,0,0
290,9,1,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0
291,9,4,1,2,0,0,13,4,4,0,0,0,8,5,1,0,0
292,9,7,0,2,3,7,1,3,2,0,3,0,3,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,15,3,1,1,0,0,1,0,3,0,0,0,1,2,0,0,0
295,16,1,2,1,0,0,0,5,2,0,1,0,17,1,0,1,0
