,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
55,Compass Box Great King Street Artist's Blend,5,4,6,1,0,1,8,3,1,0,0,4,2,0,1,0
56,Johnnie Walker Blue Label,12,3,40,12,1,1,9,4,2,7,2,77,3,2,6,0
57,Bunnahabhain 25 Year Old,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
58,Bowmore 18 Year Old,0,0,15,2,3,0,2,2,0,1,0,5,2,1,5,2
59,Glenfiddich 15 Year Old Solera Reserve,16,11,13,2,11,0,21,25,0,4,0,51,9,3,5,0
60,Edradour 24 Year Old 1985 Pedro Xim?nez,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
61,Pittyvaich 12 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Deanston 12 Year Old,2,1,0,0,0,1,8,1,0,0,0,1,0,0,0,0
63,Edradour 10 Year Old Distillery Edition,1,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0
64,Ardbeg Supernova Stellar Release,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Caol Ila 12 Year Old,10,6,144,9,0,0,10,33,1,8,5,19,7,1,7,12
66,Dalwhinnie 15 Year Old,93,31,90,12,0,1,73,27,5,10,15,123,27,12,6,0
67,Unnamed: 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"Good fl""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Bowmore 12 Year Old,15,2,67,2,2,0,10,4,1,4,1,15,8,0,4,6
70,Bunnahabhain 18 Year Old,6,1,16,4,9,1,5,5,0,2,0,12,1,1,3,9
71,Laphroaig Quarter Cask,15,3,148,4,1,2,3,13,1,12,0,14,9,1,2,5
72,The Glenlivet Archive 21 Year Old,2,0,0,1,1,0,1,2,0,0,1,6,2,0,0,0
73,Cardhu 12 Year Old,0,0,9,1,0,1,12,1,0,1,0,9,1,1,0,0
74,The GlenDronach 18 Year Old Allardice,1,1,1,3,5,0,9,0,0,1,0,4,2,0,2,0
75,Johnnie Walker Gold Label Reserve,7,2,15,1,0,0,9,7,1,3,0,11,0,1,1,0
76,Famous Grouse Blended Scotch Whisky,1,0,1,2,0,0,1,0,0,0,0,1,1,2,0,0
77,Benromach Organic,2,0,0,1,0,0,1,4,0,1,0,3,2,2,0,0
78,Tobermory 10 Year Old,3,0,4,1,0,0,3,2,3,0,1,1,0,1,0,1
79,Inchmurrin 12 Year Old,1,0,0,1,0,2,2,1,0,0,0,1,0,0,0,0
80,Knockando 12 Year Old,0,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0
81,Bowmore 25 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Dewar's 18 YO Double Aged,4,2,2,0,0,1,3,1,0,0,1,1,1,0,0,0
83,The Dalmore Cromartie 1996,1,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0
84,Aberfeldy 12 Year Old,2,2,6,5,1,0,6,4,0,1,0,4,1,0,0,0
85,Highland Park 21 Year Old 1977 Bicentenary Repatriation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Auchentoshan 21 Year Old (Old Bottling),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Robert Burns (Arran) The Robert Burns,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
88,Springbank 15 Year Old,4,4,6,0,3,1,7,3,0,2,0,4,0,0,2,0
89,Strathmill 12 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Caol Ila 25 Year Old,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0
91,Brora 32 Year Old 2011 Release,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Mortlach 16 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
