,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
264,Kurayoshi 12 Year Old Pure Malt Whisky,4,5,7,8,0,0,9,2,1,1,0,9,3,0,1,0
265,Hellyers Road 10 Year Old,24,4,5,3,0,3,11,12,0,1,0,7,2,4,2,0
266,Rampur Vintage Select Casks,3,1,2,2,0,0,30,20,0,0,7,11,1,1,2,0
267,Kaiyo Mizunara Aged Cask Strength Japanese Malt Whisky,6,6,2,0,0,0,12,7,0,2,2,9,3,0,3,2
268,Koval Single Barrel Bourbon Whiskey,56,13,13,17,1,20,39,19,1,16,1,129,29,10,2,0
269,Unnamed: 270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Unnamed: 271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Writers Tears Cask Strength 2018 Release,8,0,0,2,0,4,3,11,3,1,4,4,5,0,0,0
272,Templeton Rye Spirits Templeton 6 Year Old Rye Whiskey,4,0,0,0,0,11,2,11,0,1,1,4,3,0,0,0
273,Paul John Peated Select Cask,5,0,30,3,0,1,2,11,0,1,0,3,9,0,1,1
274,Glendalough 13 Year Old Mizunara Finish,3,0,0,4,0,0,7,4,2,1,0,2,3,0,0,0
275,Kaiyo Japanese Mizunara Oak,12,4,13,1,2,0,7,11,3,6,2,7,6,0,0,0
276,Kura Pure Malt Whisky Rum Cask Finish,3,1,29,2,0,0,4,4,1,0,0,4,1,0,3,1
277,Amrut Peated Single Malt Whisky,1,1,16,0,0,2,2,6,0,0,1,6,1,2,1,0
278,Jameson The Blender's Dog,3,1,0,0,0,2,2,3,0,0,0,4,0,0,0,0
279,Paul John Classic Select Cask,6,5,0,2,0,1,14,13,0,2,1,3,2,0,0,0
280,West Cork Glengarriff Peat Charred Cask Finish,5,2,18,0,0,1,8,10,1,0,0,3,0,3,1,0
281,Bulleit Straight Bourbon Whiskey (1L),1,1,0,1,0,2,2,2,0,0,0,2,0,0,0,0
282,Wild Turkey Russell's Reserve 10 Year Old Bourbon Whiskey,19,10,10,0,0,4,7,17,0,10,1,14,7,1,3,0
283,Kavalan Solist Port Cask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Square One Botanical Vodka,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
285,George A. Dickel's George Dickel Rye Whisky,2,1,0,2,0,17,1,4,1,5,0,11,4,0,0,0
286,Stitzel Weller Blade & Bow Kentucky Straight Bourbon,23,6,1,4,0,1,20,20,0,7,0,80,12,6,3,0
287,Hibiki 21 Year Old,1,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0
288,High West Bourye Whiskey,2,0,0,0,0,3,0,4,0,2,0,5,3,0,0,0
289,Bushmills 21 Year Old,6,2,1,4,0,0,6,4,0,4,0,7,0,1,0,0
290,Corsair Buck Yeah,1,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0
291,Catoctin Creek Single Barrel Roundstone Rye Whisky,4,1,2,0,0,13,4,4,0,0,0,8,5,1,0,0
292,Westland Sherry Wood American Single Malt Whiskey,7,0,2,3,7,1,3,2,0,3,0,3,0,0,0,0
293,Ichiro's Malt Chichibu Ichiro's Malt The First 2008 (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Hyde 6 Year Old Single Grain Irish Whiskey,3,1,1,0,0,1,0,3,0,0,0,1,2,0,0,0
295,Quiet Man 8 Year Old,1,2,1,0,0,0,5,2,0,1,0,17,1,0,1,0
296,Fukano Japanese Rice Whisky 2017 Release,2,1,0,0,0,0,8,1,0,0,0,0,2,1,0,0
297,Cleveland Whiskey Cleveland Underground Black Cherry Finish Bourbon,2,1,0,1,0,0,8,1,0,9,0,3,1,2,0,0
298,Hibiki 17 Year Old (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Karuizawa Cask Strength 1999-2000 Fugaku Sanjurokkei 5th Release (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Journeyman Featherbone Bourbon Whiskey,23,12,7,3,0,21,18,54,4,9,2,47,23,15,5,0
301,Jefferson's Very Small Batch Bourbon,12,3,1,2,0,0,1,14,0,3,2,47,8,0,0,0
302,PUNI ALBA Puni Nova Whisky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,S?ntis Snow White Winter Editon IV,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
304,Jameson Gold Reserve,3,0,0,0,1,0,0,0,1,0,0,9,2,1,0,0
305,Koval Single Barrel Four Grain Whiskey,5,3,5,3,0,5,18,11,1,8,0,12,2,0,2,0
306,Garrison Brothers Cowboy Bourbon 2009,0,1,1,1,0,0,4,0,0,2,0,0,0,1,0,0
307,Ole Smoky Pumpkin Pie Moonshine,6,0,0,2,0,1,2,5,0,0,0,5,1,0,0,1
308,Wiggly Bridge Distillery Wiggly Bridge Small Barrel Bourbon,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
309,Bushmills Cadenhead's Old Bushmills 16 Year Old 1977 Cask Stregth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,Van Winkle Family Reserve Rye 13 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Tap Rye Port Finish Canadian Whisky,2,1,0,2,0,2,1,2,0,0,0,2,1,0,0,0
312,Suntory Toki,22,7,18,1,2,4,25,21,6,6,2,62,16,6,1,0
313,Parker's Heritage Collection 8 Year Old Malt Whiskey (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,MDRC Cody Road Rye Whiskey,5,2,0,0,0,11,7,4,0,0,1,5,1,0,0,0
315,Hirsch The Horizon Straight Bourbon Whiskey,1,1,0,1,0,1,0,3,0,0,0,0,1,0,1,0
316,Jameson St. Patrick's Edition 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Crown Royal XR Blue Label,6,2,1,1,0,4,3,3,0,1,0,26,1,2,0,0
318,Chapter 7 Irish Malt 1999 16 YO,0,2,0,1,0,1,3,1,0,0,0,0,1,0,0,0
319,Knob Creek Patiently Aged Kentucky Straight Bourbon,18,6,2,1,0,2,4,21,0,4,0,16,5,1,1,0
320,Yamazaki 2014 Limited Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Brenne 10 Year Old Single Malt Whisky,4,3,3,1,0,0,1,2,0,0,1,4,0,0,0,1
322,Canadian Club Classic 12 Year Old,5,1,0,1,0,1,0,0,0,0,0,3,1,1,0,0
323,Cleveland Whiskey Cleveland Black Reserve American Bourbon Whiskey,7,4,0,0,0,1,1,3,0,2,0,9,4,0,2,0
324,Various The Survive(he)r Bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Various Survive(he)r Bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Rebel Yell Small Batch Rye Whiskey,2,1,2,2,0,16,1,9,0,0,0,11,1,0,1,0
327,Kavalan Oloroso Sherry Oak,0,0,0,4,2,0,2,1,0,1,0,0,0,0,0,0
328,Barrell Bourbon Batch 003,3,1,0,1,0,1,2,2,0,1,0,1,0,0,0,0
329,Various Best Of 2015 Bundle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,Hibiki 17 Year Old Chrysanthemum & Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Yamazaki Sherry Cask 2013 (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Bastille 1789 Single Malt Whisky,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0
333,Hibiki 17 Year Old Chrysanthemum & Crane (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Kavalan Solist Vinho Barrique (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Jim Beam High Rye 11 Year Old Kentucky Straight Bourbon,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
336,Catoctin Creek Roundstone Rye Whisky,3,0,0,2,0,9,2,0,0,0,0,1,1,2,0,0
337,Parker's Heritage Collection 13 Year Old Wheat Whiskey (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,"Journeyman Corsets, Whips & Whiskey",11,1,1,2,0,1,0,4,0,2,0,4,2,2,1,0
339,Nikka Gold & Gold Samurai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Willett Family Estate Small Batch 2 Year Old Straight Rye Whiskey,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
341,J.R. Ewing  J.R. Ewing Private Reserve Kentucky Straight Bourbon Whiskey,1,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0
342,Garrison Brothers Texas Bourbon Whiskey,16,0,1,1,0,5,4,10,0,3,0,15,1,0,0,0
343,"Deer, Bear & Moose Bourbon Lot 1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
344,Chichibu Ichiro's Malt Double Distilleries (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Chichibu Ichiro's Malt Wine Wood Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,Yamazaki 2014 Limited Edition (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Corsair Ryemageddon Whiskey,1,0,1,1,0,13,5,5,0,0,0,5,1,0,0,0
348,Knob Creek Smoked Maple Bourbon,82,3,23,2,0,0,1,7,0,8,0,19,2,1,3,1
349,Kavalan Peaty Cask Whisky Live Warsaw 2015 (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,Widow Jane 10 Year Old Straight Bourbon Whiskey,19,14,9,6,0,8,22,24,1,13,2,54,7,3,4,0
351,Nikka Super Revival Limited,0,0,0,2,0,0,1,3,1,1,0,0,0,1,0,0
352,Tinto Red Premium Gin,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
353,Kornog Taouarc?h Kentan 15BC,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1
354,Leopold Bros American Small Batch Whiskey,2,3,2,0,0,3,2,1,0,2,0,3,1,1,1,0
355,Lucky Seven 'The Hold Up' 12 Year Old Bourbon,2,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0
356,Omar Bourbon Cask Single Malt Whisky,10,0,0,2,0,2,14,11,0,1,1,6,0,0,1,0
357,Westland Peated American Single Malt Whiskey,1,0,21,5,0,0,0,3,1,0,0,1,0,0,0,0
358,Ransom Spirits Henry Duyore's Straight Bourbon Whiskey,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
359,WhistlePig Old World 12 Year Old Rye Whiskey,5,2,2,3,0,19,4,8,0,2,0,18,6,0,0,0
360,WhistlePig Boss Hog Vth Edition: The Spirit of Mauve,0,1,1,4,0,4,4,4,0,0,0,6,1,1,0,0
361,Two James Spirits Catcher's Rye,0,1,2,0,0,5,3,5,0,1,0,2,0,1,0,0
362,Jefferson's Reserve Very Old Small Batch Bourbon,9,5,2,3,0,0,0,2,0,3,1,42,4,1,1,0
363,Catoctin Creek Watershed Gin,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
364,Elijah Craig Small Batch Bourbon,33,22,11,9,0,3,13,45,0,12,1,51,13,3,7,1
365,Kavalan Solist Vinho Barrique 58.6% (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,Chicken Cock Bootlegger?s Blend,2,0,0,0,0,2,3,3,0,0,0,0,1,0,0,0
367,Bushmills Old Bushmills Irish Whiskey,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
368,Blackadder 2015 A drop of the Irish Cask Strength,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Pikesville 110 Proof Straight Rye Whiskey,2,1,1,2,0,24,4,17,0,0,0,8,2,4,3,0
370,STOLEN 11 Whiskey,3,1,3,1,0,0,1,1,0,1,0,1,1,0,0,0
371,Orphan Barrel Rhetoric 24 Year Old Bourbon,5,6,0,2,0,0,9,3,0,3,0,1,3,0,0,0
372,Basil Hayden's Dark Rye,18,0,1,1,0,50,18,27,0,5,1,32,7,3,2,0
373,William Cadenhead 13 Year Old Single Malt Irish Whiskey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,J.B.A. Whisky Byron The Best Barmen's Choice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Tullamore D.E.W. Tullamore Dew 12 Year Old,4,2,2,0,1,1,5,3,0,2,0,24,0,2,0,0
376,Various Vault Selection XXV. The Far East Connection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,Black Fly Bourbon,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
378,Suntory Yamazaki Sherry Cask 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Chichibu 2010 Ichiro's Malt for Isetan Cask No. 755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Schenley O.F.C. 6 Year Old Canadian Whisky 1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Barrell Bourbon Barrel Bourbon Beast Masters Private Cask,1,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0
382,Various Vault Selection XIX. The might of Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Pendleton 1910 12 Year Old Whisky,14,1,0,3,1,22,3,8,1,2,1,17,8,1,0,0
384,Bender's Rye Whiskey,15,6,2,3,0,12,5,18,0,3,0,15,9,4,1,0
385,Yamazaki 12 Year Old Ceramic Bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Kavalan Vault Selection XIV. Kavalan Trio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Corsair Quinoa Whiskey,0,0,2,2,0,0,0,3,0,1,0,2,2,1,0,0
388,Cleveland Whiskey Cleveland The Eighty Bourbon,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0
389,Kikori Whiskey,1,1,4,1,1,0,4,0,1,0,1,8,1,1,0,0
390,Karuizawa 12 Year Old The Colors of Four Seasons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Suntory Prestige 25 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Ichiro's Malt Grain & Malt,3,4,0,1,0,1,12,2,1,0,0,5,2,1,0,0
393,Kavalan Solist Sherry Cask (58.6%) (Tasting Sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Nikka Yoichi Single Malt,3,1,10,0,0,0,1,1,0,1,1,3,0,0,0,2
395,Van Brunt Stillhouse Rye Whiskey,10,0,14,5,0,31,1,25,3,10,1,12,3,2,0,0
396,Hillrock Solera Aged Bourbon Whiskey,6,2,0,3,0,0,1,3,0,0,0,10,1,0,0,0
397,Very Olde St. Nick 18 Year Old Bourbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Booker's Kentucky Straight Bourbon (65.3%),4,2,2,1,0,2,7,5,1,1,0,2,1,0,0,0
399,Booker's Kentucky Straight Bourbon (63.7%),11,5,4,2,0,3,9,9,1,4,0,4,6,0,0,0
400,Corsair Centennial Hopped Whiskey,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
401,Rebellion 8 Year Old Bourbon,1,0,1,0,0,0,3,3,0,1,0,3,1,0,1,0
402,Mars Shinshu Iwai Tradition Whisky,14,1,4,0,5,0,6,6,1,0,2,7,5,2,0,0
403,Pike Creek Canadian Whisky,2,1,0,2,0,0,2,6,0,1,0,12,2,0,0,0
404,Mackmyra Vinterrok,1,1,7,1,0,0,0,2,0,0,0,2,0,0,0,0
405,Kavalan Vault Selection XVII. Kavalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,The New Zealand Whisky Collection 23 Year Old Cask Strength 1990 (Tasting sample),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Few Rye Cask Strength Whiskey,7,0,0,1,0,7,1,7,0,0,0,8,3,2,0,0
408,Leopold Bros Maryland Style Rye,1,2,0,1,0,5,3,2,2,3,3,2,0,1,0,0
409,Chichibu 2009 Original Quarter Cask No.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Jameson Bow Street 18 Year Old Batch 1,4,1,0,1,1,0,1,2,0,3,0,5,2,0,3,0
411,Kavalan Solist Vinho Barrique 58.6%,1,2,0,1,0,0,6,1,0,0,0,0,0,0,0,0
412,King Car Kavalan Solist Vinho Barrique (57.8%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,Yamazaki Vault Selection XV. Yamazaki Finest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Four Roses Single Barrel Elliott's Select Limited Edition 2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Jefferson's Manhattan Bourbon,0,0,1,0,0,0,7,0,0,3,0,6,2,2,1,0
416,Basil Hayden's 10 Year Old Rye Whiskey,2,1,0,2,0,0,2,3,0,0,0,0,0,0,0,0
417,High West Yippee Ki-Yay,2,0,0,1,0,5,2,1,0,0,1,4,4,0,1,0
418,Enso Japanese Whisky,1,1,1,0,0,0,2,2,0,2,0,0,0,0,0,0
419,Togouchi 15 Year Old,0,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0
420,Cooperstown Distillery Cooperstown Doubleday Baseball Bourbon,2,2,3,0,0,2,0,3,0,1,0,4,2,0,0,0
421,Oppidan Spirits Oppidan Four Grain Small Batch Bourbon,4,5,1,1,0,1,5,7,1,3,0,8,0,1,0,0
422,Nikka Days Blended Whisky,8,7,14,5,0,0,21,5,0,1,2,13,5,3,2,0
423,Jameson 18 Year Old Limited Reserve,19,3,3,7,4,0,9,11,0,7,1,28,6,3,3,0
424,Mars Maltage Cosmo,2,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0
425,Akashi Single Malt Whisky,1,0,1,0,0,0,3,3,0,1,0,1,0,0,0,0
426,Suntory Hibiki Harmony,31,11,23,11,1,2,35,14,0,6,7,93,15,2,20,0
427,Blanton's Single Barrel Dumped 2018,1,0,0,0,0,0,1,2,1,0,0,3,0,0,0,0
428,Chichibu Ichiro's Malt Chichibu Paris Edition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,Chichibu 2011 SMWS 6 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Buffalo Trace 1991 Experimental Collection 19 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Hakushu 2000 SMWS 13 Year Old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,Rowan's Creek Straight Kentucky Bourbon,10,6,1,3,0,3,5,15,0,7,0,14,6,3,1,0
433,Kensei Blended Japanese Whisky,2,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0
434,Old Forester Bourbon,8,4,0,4,0,4,8,13,2,9,0,10,5,1,0,0
435,Writers Tears Cask Strength 2017 Release,0,0,0,3,0,0,6,5,0,0,0,2,0,0,0,0
436,Hakushu The Hakushu Single Malt Whisky Distiller's Reserve,1,2,6,0,0,0,6,4,2,0,0,3,0,0,0,0
437,Wyoming Whiskey Barrel Strength,5,1,1,1,0,0,1,3,0,1,0,0,0,0,0,0
438,Knob Creek 2018 Hero's Share Knob Creek 13 Year Old Single Barrel,3,0,0,1,0,0,0,2,0,0,0,2,1,0,1,0
