,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
80,11,0,0,0,1,0,0,2,1,0,1,0,0,1,1,0,0
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2,4,2,2,0,0,1,3,1,0,0,1,1,1,0,0,0
83,9,1,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0
84,2,2,2,6,5,1,0,6,4,0,1,0,4,1,0,0,0
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,17,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
88,2,4,4,6,0,3,1,7,3,0,2,0,4,0,0,2,0
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,0,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,7,6,3,95,1,0,0,5,3,0,2,0,9,9,0,0,6
94,11,1,2,1,4,0,1,5,3,0,2,0,1,0,2,0,0
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2,1,0,1,0,0,1,2,1,1,0,0,0,1,0,1,0
98,7,13,8,232,7,0,1,7,12,2,11,0,17,12,4,4,24
99,0,7,3,14,2,0,0,2,2,0,1,1,2,0,1,7,0
100,2,1,0,4,4,0,0,2,1,1,0,1,0,1,2,0,1
101,2,0,0,5,0,3,0,7,5,0,1,0,2,0,0,1,0
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,8,0,0,2,0,1,0,3,2,0,5,0,0,0,0,1,0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,19,11,2,5,1,0,3,1,20,0,2,1,8,6,0,2,2
108,10,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
109,9,2,1,1,1,0,0,6,5,0,1,0,1,1,0,1,0
110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,3,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0
113,8,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
114,8,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
115,18,0,0,0,1,1,0,2,2,0,0,0,2,1,0,0,0
116,0,2,3,11,0,0,0,3,7,0,1,1,0,0,3,0,3
117,0,0,0,4,0,0,0,0,1,2,2,0,1,0,0,0,0
118,7,0,0,13,1,0,0,0,5,0,0,0,0,1,2,0,2
119,10,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
120,8,7,2,8,4,13,0,8,1,0,1,0,4,1,0,1,0
121,11,1,4,0,2,0,1,4,2,0,2,0,1,0,0,0,0
122,2,0,1,3,1,0,0,1,2,0,0,0,2,0,0,0,1
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
125,17,3,1,0,1,0,2,1,1,2,0,1,1,0,0,0,0
126,18,19,4,11,1,1,2,15,12,0,2,0,19,3,1,2,0
127,2,19,4,7,3,0,1,17,14,0,6,2,12,5,1,6,22
128,18,12,3,9,6,4,1,22,10,4,10,1,24,3,2,2,0
129,18,6,1,3,0,1,0,7,4,1,2,0,11,1,0,2,0
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,11,12,3,6,37,1,0,34,14,0,3,0,25,9,1,5,0
132,19,2,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0
133,6,24,3,25,7,11,0,13,8,1,2,2,60,11,2,3,0
134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,13,2,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0
136,18,6,4,6,2,4,1,8,3,0,2,0,11,6,0,0,0
137,8,2,3,3,2,4,0,3,1,0,1,0,4,0,0,2,0
138,16,5,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0
139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,18,6,4,15,1,3,0,10,12,0,1,0,23,0,0,0,0
142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,5,1,48,1,0,1,6,11,1,1,0,7,3,2,4,4
144,18,33,19,17,4,0,2,37,24,2,12,4,84,13,2,4,1
145,9,2,1,1,0,0,0,3,3,0,1,0,2,0,0,0,0
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,11,4,2,4,4,1,2,11,6,0,4,0,8,1,0,2,0
148,13,3,0,0,3,0,0,6,0,1,0,0,1,1,1,0,0
149,17,4,3,0,0,0,0,3,2,0,1,1,4,0,0,0,0
150,9,1,1,1,0,0,0,4,2,0,0,1,2,0,0,0,0
151,19,2,0,0,0,1,0,1,2,0,1,0,1,0,0,0,1
152,11,2,2,1,0,0,0,4,1,0,2,0,1,1,1,0,0
153,7,2,0,31,1,0,0,2,8,0,1,0,0,3,1,0,0
154,11,5,2,6,14,0,0,16,6,1,2,1,13,6,0,1,0
155,10,24,3,24,47,10,0,15,4,1,2,0,18,10,2,2,1
156,10,5,2,2,20,0,0,11,8,0,1,0,4,2,0,1,0
157,8,0,0,2,1,2,0,4,2,0,3,0,1,0,0,0,0
158,2,4,3,9,1,0,0,4,2,0,1,2,5,0,0,1,0
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,10,2,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0
162,0,15,3,115,0,0,0,11,21,0,3,2,14,11,4,11,26
163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
166,18,3,0,1,5,2,1,4,2,1,1,1,7,0,0,5,0
